0ca,San Francisco,"{""C"":3.8302455032598623,""C#"":2.7188579924221283,""C++"":5.972268643608472,""Go"":9.545555777742907,""HTML"":4.679429676993082,""JavaScript"":2.1922807527830606,""Makefile"":0.7779060735681826,""PowerShell"":1.7225063057581185,""Python"":55.454923034400224,""Shell"":13.106026239463947}"
linakherchi,"San Francisco, CA","{""JavaScript"":100}"
BrittanyMBui,"San Francisco, CA","{""HTML"":10.449516109651794,""JavaScript"":59.40337393049828,""Python"":2.8646575074970513,""TypeScript"":1.8188301634901909,""Vue"":25.463622288862673}"
gonzen2310,"San Francisco, CA","{""C++"":0.9978554826226047,""CSS"":3.170962978111832,""Dart"":1.8531601820134085,""HTML"":9.343015917650934,""Java"":15.624777242141905,""JavaScript"":20.945628475588165,""Kotlin"":4.3240404246979525,""Python"":4.824195474891625,""Ruby"":25.944242548187717,""SCSS"":12.972121274093858}"
tolmasky,"San Francisco, CA","{""C"":0.8938295651031423,""C++"":0.922779510531584,""CoffeeScript"":0.42736226081493983,""HTML"":11.811818041968476,""JavaScript"":53.45269332521767,""Objective-C"":1.643701003134384,""Objective-J"":1.5647797486143213,""Ruby"":0.3561352173457832,""Shell"":0.4360839396070814,""TypeScript"":21.36811304074699,""Zig"":7.122704346915663}"
zesansan,"San Francisco, CA","{""HTML"":9.53713950686622,""JavaScript"":61.62611395121903,""Python"":4.2445510992096915,""Ruby"":24.59219544270504}"
Alamode89,"San Francisco, CA","{""C++"":15.96225419954887,""Java"":5.12574110313527,""JavaScript"":49.20711459009859,""Makefile"":2.1967461870579728,""Python"":3.417160735423513,""TypeScript"":17.940093860973445,""Yacc"":6.150889323762324}"
francisco-rojas,"San Jose, Costa Rica","{""Go"":6.881885767301803,""JavaScript"":6.479653261112506,""Processing"":1.0623837376623708,""Python"":2.1247674753247416,""Ruby"":83.45130975859855}"
EthanHess,"San Francisco, CA","{""CSS"":0.76400450002281,""HTML"":0.8410699821039638,""Java"":0.3045253383479869,""JavaScript"":24.967760197860688,""Objective-C"":17.490760279553626,""Swift"":55.63187970211085}"
lvamaral,San Francisco,"{""CSS"":9.979231137223064,""Go"":5.296668834372242,""HTML"":11.453480470907495,""JavaScript"":64.25892605457221,""Python"":2.9425937968734677,""Ruby"":6.069099706051526}"
chekos,San Francisco Bay Area,"{""CSS"":0.7615354042344683,""HTML"":13.912836645237004,""Java"":0.35100445033098915,""JavaScript"":8.656083796412686,""Jupyter Notebook"":14.669192774663136,""Procfile"":0.4451763760295472,""Python"":39.4804300348014,""R"":0.34277246445653636,""Ruby"":0.7300892566884574,""Shell"":18.899180796252864,""TypeScript"":1.751698000892859}"
maryrosecook,San Francisco,"{""C"":0.280558202321206,""CSS"":0.3312094507576997,""Clojure"":2.925028158458015,""Emacs Lisp"":2.5550443344165403,""HTML"":6.00265993615744,""Ioke"":0.13549477530996806,""JavaScript"":53.06351174601133,""Objective-C"":0.7154124136366313,""Python"":0.22929885052456134,""Ruby"":8.774951509068343,""Scheme"":0.1315096348596749,""Shell"":2.4986830623338228,""TypeScript"":22.356637926144728}"
DeliSauce,San Francisco,"{""CSS"":32.28406816148456,""HTML"":0.37108124323545477,""JavaScript"":44.19954324311444,""Ruby"":23.145307352165563}"
fclaude,"San Jose, CA","{""C"":13.223140495867773,""C++"":25.71166207529844,""Go"":9.641873278236917,""Python"":12.85583103764922,""Rust"":38.567493112947666}"
jesseaborden,San Francisco,"{""HTML"":28.92561983471074,""JavaScript"":71.07438016528927}"
100LinesLater,San Francisco,"{""CSS"":5.809990152463278,""HTML"":1.441576503994648,""Java"":1.7437237486973907,""JavaScript"":68.25052939062708,""Ruby"":22.7541802042176}"
pranjal2410,"San Francisco, United States","{""CSS"":1.4629068238126404,""HTML"":2.5268390593127426,""JavaScript"":84.09159955166821,""Jupyter Notebook"":1.544179425135565,""Python"":10.374475140070853}"
kikin81,"San Francisco, CA","{""C"":0.9125805317863247,""C++"":0.7699898236947116,""HTML"":8.213224786076923,""Java"":5.931225959821149,""JavaScript"":1.827668152945689,""Kotlin"":67.68026792021334,""Objective-C"":2.5288086841342103,""Python"":2.630059122820717,""Ruby"":0.8213224786076924,""Shell"":4.1066123930384615,""Swift"":3.209369349181318,""TeX"":1.3688707976794872}"
francisco-villegas,"San Jose, California","{""Java"":57.55369416381308,""Kotlin"":0.5197506837084113,""Swift"":41.9265551524785}"
patrickod,"San Francisco, California","{""ApacheConf"":0.2510196556347487,""Arduino"":0.18760416368491742,""C"":1.9773871854842993,""C++"":1.5893305306135788,""CSS"":2.8066464787178407,""Clojure"":1.3033341898106974,""CoffeeScript"":1.1076177471885802,""Emacs Lisp"":0.2546056507152451,""Go"":23.261386932773785,""HCL"":0.387443381523199,""HTML"":4.37891857794115,""JavaScript"":4.1305582949831035,""KiCad Layout"":0.5363128236490003,""Makefile"":0.6047998489923139,""Nix"":21.38687466008059,""OpenSCAD"":0.2284922506418866,""PHP"":0.6948523897368417,""Perl"":0.13709535038513196,""Puppet"":0.14257916440053725,""Python"":8.741955341796624,""Ruby"":3.088646930896385,""Rust"":11.900590387536724,""Shell"":10.01082828530942,""TeX"":0.8911197775033578}"
amhunt,"San Francisco, CA","{""HTML"":3.2004166425169482,""Java"":2.493831150013207,""JavaScript"":55.27082697479133,""Jupyter Notebook"":1.4437969815865932,""Python"":5.205959844670426,""Ruby"":3.429017831268159,""Swift"":15.240079250080708,""TypeScript"":13.716071325072637}"
paulintrevado,"San Francisco, CA","{""HTML"":68.02721088435375,""Jupyter Notebook"":21.7687074829932,""Python"":10.204081632653063}"
franciscodlp,San Francisco,"{""Swift"":100}"
andmitriy93,San Francisco,"{""C"":4.487681815401718,""Go"":27.795229652440167,""HTML"":28.137155096577338,""JavaScript"":32.63112602247074,""Ruby"":6.948807413110042}"
ahmadvaroqua,San Francisco,"{""HTML"":23.50981266314061,""Java"":14.693632914462881,""JavaScript"":15.671273574333423,""Python"":0.7124185655497156,""Ruby"":23.318760342704365,""Shell"":6.748186968123695,""TypeScript"":12.538566753674992,""Vim Script"":2.80734821801032}"
vicwomg,San Francisco,"{""C++"":4.877387887820079,""CSS"":34.14171521474055,""JavaScript"":18.493429074651132,""PHP"":6.828343042948111,""Python"":14.794743259720908,""TypeScript"":20.864381520119228}"
yanneta,"San Francisco, CA","{""Jupyter Notebook"":91.70151631868534,""Python"":8.29848368131465}"
frostjohn,San Francisco,"{""CSS"":28.191576067243986,""HTML"":10.25148220627054,""JavaScript"":34.171607354235135,""Ruby"":27.38533437225033}"
jakeTran42,San Francisco,"{""CSS"":0.4515030102777793,""Go"":1.8068299813471276,""HTML"":9.29469681268543,""JavaScript"":45.682551112315565,""Jupyter Notebook"":22.881762181157626,""PLpgSQL"":1.1168758675292436,""Python"":6.80581637716136,""Roff"":1.7683867902546355,""Ruby"":3.4199576134664573,""Swift"":2.527491957193699,""TypeScript"":4.244128296611126}"
sul3n3t,"San Francisco, CA","{""Go"":52.06927494465848,""HTML"":4.305222549397578,""Java"":19.144441554596792,""JavaScript"":2.7396870768893677,""Python"":15.068278922891523,""Ruby"":4.520483676867457,""Vim Script"":2.152611274698789}"
kaspnilsson,"San Francisco, CA","{""Dart"":3.8443058273514525,""HTML"":20.735952644501776,""JavaScript"":7.979633585466994,""Python"":4.3934923741159455,""TypeScript"":63.046615568563816}"
colinfike,"San Francisco, CA","{""Go"":22.643393072798485,""JavaScript"":5.839973688340643,""Python"":10.07478096139264,""Ruby"":18.007626414738223,""TeX"":6.858035662536318,""TypeScript"":36.5761902001937}"
lpagac,San Francisco,"{""CSS"":0.6890025223032474,""HTML"":24.976341433492724,""JavaScript"":58.151067359935716,""Python"":16.183588684268294}"
serenadinh,San Francisco Bay Area,"{""CSS"":0.23756854985657808,""HTML"":2.769075683084075,""JavaScript"":6.244270497502219,""Ruby"":90.7490852695571}"
dianewoodbridge,San Francisco,"{""HTML"":33.11392767975535,""Jupyter Notebook"":32.66834705116413,""PLpgSQL"":17.660761429202854,""Python"":16.556963839877675}"
creativedrewy,"San Francisco, CA","{""Java"":6.640164610879781,""JavaScript"":33.12017328179713,""Kotlin"":58.0429159202651,""TypeScript"":2.1967461870579728}"
BrianCho91,"San Francisco, CA","{""CSS"":12.85583103764922,""JavaScript"":80.71625344352618,""Vim Script"":6.42791551882461}"
FrankSalad,"San Francisco, CA","{""C"":7.408715723499333,""CSS"":0.5421011504999512,""HTML"":2.696963779840666,""Java"":9.452104655942996,""JavaScript"":12.177565399640262,""Objective-C"":3.1232821187301107,""Python"":61.096965193465216,""TypeScript"":3.5023019783815035}"
OmarDajani75,"San Francisco, California","{""CSS"":4.515716601398219,""Cuda"":3.0104777342654794,""HTML"":61.43359508275819,""Java"":8.25334920192895,""JavaScript"":13.095578144054834,""Makefile"":2.7094299608389316,""Python"":5.750294201646796,""Ruby"":1.2315590731086052}"
pacopedraza,"San Francisco, CA","{""BitBake"":1.478274562737221,""C"":16.086240672789152,""C++"":9.794376992986237,""CSS"":7.884131001265178,""Gnuplot"":0.7391372813686105,""Groovy"":1.3140218335441964,""HTML"":4.223641607820631,""Java"":1.9710327503162948,""JavaScript"":3.5088714895740636,""PHP"":0.7629804194772754,""Python"":4.752512232585946,""Ruby"":3.4462759913254146,""Rust"":11.826196501897767,""Shell"":6.588880908200186,""Swift"":1.9710327503162945,""Vue"":23.652393003795535}"
tylerjwoodfin,"San Francisco, CA","{""C#"":2.4924029845357367,""CSS"":1.6736775855458002,""HTML"":1.7852560912488533,""Java"":9.035502469627215,""JavaScript"":2.975426818748089,""Python"":68.74395208510194,""Ruby"":3.3473551710916003,""TypeScript"":8.033652410619842,""Visual Basic .NET"":1.912774383480914}"
willashley23,"San Francisco, CA","{""C++"":3.109579419989495,""HTML"":3.2754996464602373,""JavaScript"":45.365613361080484,""Python"":4.891412805380621,""Ruby"":5.5606139982389085,""Swift"":1.1116847284955957,""TypeScript"":36.68559604035465}"
krisbredemeier,San Francisco,"{""C"":33.59093094149692,""Go"":0.9627449901866755,""HTML"":15.058159199155257,""JavaScript"":10.20819538560235,""PHP"":2.3398889109319634,""Python"":26.888856309253406,""Ruby"":3.650408087791144,""Shell"":1.0429737393688985,""Swift"":6.25784243621339}"
